TLX,TLY,BLX,BLY,BRX,BRY,TRX,TRY,content,p,as_cat,chunk,cat
178,20,328,20,328,72,178,72,Status,0.9999118632105854,True,-1,Status
1389,35,1665,35,1665,77,1389,77,Pauline Bonaparte,0.9999834220855012,False,1,name
1391,81,1409,81,1409,107,1391,107,A,0.9992624689544414,False,2,Description
1405,73,1849,73,1849,118,1405,118,strikingyoung female officer who has,0.9974227603941027,False,2,
1387,109,1843,109,1843,145,1387,145,the power to make others courageous.,0.7364736619729726,False,2,
148,136,194,136,194,168,148,168,HP,0.9915712101382569,True,5,HP
234,129,329,129,329,172,234,172,20/20,0.9066784600883371,False,5,
148,202,216,202,216,234,148,234,MRL,0.9999549882486429,True,7,MRL
237,197,329,197,329,235,237,235,8/100,0.9588824342965822,False,7,
31,267,123,267,123,305,31,305,Class,0.7713374409368141,True,9,Class
191,269,303,269,303,305,191,305,Fusilier,0.99999806124419,False,9,
1623,259,1705,259,1705,295,1623,295,MOV,0.9996986191531879,True,11,MOV
1778,260,1802,260,1802,290,1778,290,4,0.8730617356028384,False,11,
31,335,119,335,119,373,31,373,Trait,0.6163416012061345,True,-1,Trait
205,335,249,335,249,371,205,371,Lv,0.9983326566237947,True,-1,Lv
337,335,409,335,409,371,337,371,3/15,0.9629497776076242,True,-1,3/15
419,333,527,333,527,369,419,369,EXP 66,0.8586213299836232,True,-1,EXP 66
1623,331,1695,331,1695,367,1623,367,ATK,0.995498794316276,True,17,ATK
1751,327,1803,327,1803,367,1751,367,13,0.798100065359379,False,17,
29,397,111,397,111,437,29,437,Skill,0.9999165129731512,True,-1,Skill
1623,403,1713,403,1713,439,1623,439,LEAD,0.9999856948852539,True,20,LEAD
1776,402,1802,402,1802,436,1776,436,8,0.9476718930261964,False,20,
148,468,332,468,332,496,148,496,Show All Status,0.7130589930232424,True,-1,Show All Status
1623,475,1693,475,1693,511,1623,511,DEF,0.9997319294317877,True,23,DEF
1777,473,1841,473,1841,511,1777,511,5,0.8547447919845581,False,23,
1623,547,1703,547,1703,583,1623,583,AMR,0.9999521374702454,True,25,AMR
1777,545,1843,545,1843,583,1777,583,3,0.9999944939607979,False,25,
100,584,403,584,403,628,100,628,Experimental Musket,0.9999882127203191,True,-1,Experimental Musket
459,587,515,587,515,623,459,623,4/5,0.9999458345159088,True,-1,4/5
1623,617,1697,617,1697,655,1623,655,SPD,0.9998105764389038,True,29,SPD
1778,618,1804,618,1804,650,1778,650,4,0.8880566422156548,False,29,
103,671,211,671,211,707,103,707,Musket,0.9999990753271193,True,-1,Musket
449,671,525,671,525,707,449,707,8/14,0.9999895095825195,True,-1,8/14
1621,687,1699,687,1699,727,1621,727,SCO,0.8181974998799884,True,33,SCO
1778,690,1802,690,1802,724,1778,724,5,1.0,False,33,
362,806,408,806,408,838,362,838,"C""",0.23658715233213023,True,-1,"C"""
1623,787,1687,787,1687,825,1623,825,HIT,0.30272652663455313,True,36,HIT
1753,785,1807,785,1807,827,1753,827,96,0.9999967968410157,False,36,
1625,861,1703,861,1703,897,1625,897,DDG,0.9999471421913263,True,38,DDG
1753,857,1805,857,1805,897,1753,897,20,0.9999988198884456,False,38,
101,919,347,919,347,963,101,963,Order of Chivalry,0.7226653491276579,True,-1,Order of Chivalry
1625,933,1691,933,1691,969,1625,969,MRI,0.999391194324844,True,41,MRI
1755,929,1805,929,1805,969,1755,969,17,0.9999988198884456,False,41,
770,1001,1207,1001,1207,1038,770,1038,Left-click to view detailed information_,0.7428944574413067,True,-1,Left-click to view detailed information_
