TLX,TLY,BLX,BLY,BRX,BRY,TRX,TRY,content,p,as_cat,chunk,cat
81,37,259,37,259,77,81,77,Equipments,0.9999736870922664,True,0,Equipments
291,147,353,147,353,167,291,167,Fusilier,0.7739787391698152,True,1,Fusilier
291,171,355,171,355,191,291,191,Pauline,0.9999938272017952,True,2,Pauline
291,199,379,199,379,219,291,219,Lv.2 Musket,0.9927252717633341,True,3,Lv.2 Musket
545,206,702,206,702,235,545,235,Broken Military Hat,0.8801221022707221,True,4,Broken Military Hat
546,257,714,257,714,283,546,283,Le Drapeau Tricolore,0.99889617303884,True,5,Le Drapeau Tricolore
132,294,306,294,306,318,132,318,Experimental Musket,0.955039596981054,True,6,Experimental Musket
344,292,378,292,378,316,344,316,5/5,0.9998815522278414,True,7,5/5
546,306,684,306,684,330,546,330,{Precious Antique,0.5391948487327741,True,8,{Precious Antique
133,339,271,339,271,359,133,359,Standard Musket,0.9915920483273811,True,9,Standard Musket
323,335,378,335,378,361,323,361,14/14,0.937478922936596,True,10,14/14
546,356,684,356,684,380,546,380,Precious Antique,0.9994343305844103,True,11,Precious Antique
133,383,185,383,185,403,133,403,Bread,0.9999992536317571,True,12,Bread
345,383,377,383,377,403,345,403,1/2,0.6678515672683716,True,13,1/2
546,404,684,404,684,428,546,428,Precious Antique,0.9989344632904023,True,14,Precious Antique
546,452,638,452,638,478,546,478,King'$ Coin,0.9611630977668122,True,15,King'$ Coin
133,469,228,469,228,495,133,495,Puppet Cat,0.9852495209753946,True,16,Puppet Cat
97,513,307,513,307,534,97,534,"Armor +1, Morale Increase +6",0.704433716400375,True,17,"Armor +1, Morale Increase +6"
93,527,175,527,175,565,93,565,"""Esu3enxit",0.05849154795847634,True,18,"""Esu3enxit"
151,531,333,531,333,549,151,549,"with an amusing rhythm,",0.5609766089580359,True,19,"with an amusing rhythm,"
1189,673,1229,673,1229,693,1189,693,Exit,0.9999977946281433,True,20,Exit
173,685,341,685,341,705,173,705,Choose the item slot,0.9905667968306682,True,21,Choose the item slot
