TLX,TLY,BLX,BLY,BRX,BRY,TRX,TRY,content,p,as_cat,chunk,cat
81,37,259,37,259,77,81,77,Equipments,0.9989329112489002,True,0,Equipments
291,147,353,147,353,167,291,167,Fusilier,0.6348720800025004,True,1,Fusilier
291,171,355,171,355,191,291,191,Pauline,0.9999926106634714,True,2,Pauline
291,199,379,199,379,219,291,219,Lv.2 Musket,0.6852251145760545,True,3,Lv.2 Musket
546,207,702,207,702,233,546,233,Broken Military Hat,0.7444921474618217,True,4,Broken Military Hat
546,257,714,257,714,283,546,283,Le Drapeau Tricolore,0.9981601826877764,True,5,Le Drapeau Tricolore
132,294,304,294,304,318,132,318,Experimental Musket,0.9867682136904292,True,6,Experimental Musket
344,292,378,292,378,316,344,316,5/5,0.999186251477513,True,7,5/5
546,306,684,306,684,330,546,330,Precious Antique,0.9988251886680175,True,8,Precious Antique
135,339,271,339,271,359,135,359,Standard Musket,0.9993572293203904,True,9,Standard Musket
325,339,377,339,377,359,325,359,14/14,0.9999778221727332,True,10,14/14
546,356,684,356,684,380,546,380,Precious Antique,0.9993723896924163,True,11,Precious Antique
135,383,185,383,185,403,135,403,Bread,0.9953585415419335,True,12,Bread
345,383,377,383,377,403,345,403,1/2,0.9999441827157088,True,13,1/2
546,404,684,404,684,428,546,428,Precious Antique,0.9926814505857032,True,14,Precious Antique
546,452,638,452,638,478,546,478,King'$ Coin,0.9880434876072196,True,15,King'$ Coin
134,470,228,470,228,494,134,494,Puppet Cat,0.958558723961531,True,16,Puppet Cat
97,515,307,515,307,533,97,533,"Armor +1, Morale Increase +6",0.7569803050208963,True,17,"Armor +1, Morale Increase +6"
94,530,180,530,180,562,94,562,"""tinsgnxith",0.5036472571468021,True,18,"""tinsgnxith"
151,531,333,531,333,551,151,551,"with an amusing rhythm,",0.7901828667813567,True,19,"with an amusing rhythm,"
1189,673,1229,673,1229,693,1189,693,Exit,0.9999979138374329,True,20,Exit
173,685,341,685,341,705,173,705,Choose the item slot,0.9879502239004887,True,21,Choose the item slot
