TLX,TLY,BLX,BLY,BRX,BRY,TRX,TRY,content,p,as_cat,chunk,cat
1389,35,1665,35,1665,77,1389,77,Pauline Bonaparte,0.999984265,False,0,Name
1391,81,1409,81,1409,107,1391,107,A,0.999545149,False,1,Description
1405,74,1849,74,1849,118,1405,118,strikingyoung female officer who has,0.720229841,,1,
1387,109,1843,109,1843,145,1387,145,the power to make others courageous:,0.697866201,,1,
146,136,196,136,196,168,146,168,HP,0.927858348,True,2,HP
233,129,329,129,329,171,233,171,20/20,0.670989526,,2,
148,202,216,202,216,234,148,234,MRL,0.999979765,True,3,MRL
235,195,329,195,329,237,235,237,8/100,0.999458985,,3,
31,267,125,267,125,305,31,305,Class,0.635147351,True,4,Class
192,270,302,270,302,302,192,302,Fusilier,0.999998314,,4,
1623,259,1705,259,1705,295,1623,295,MOV,0.89277482,True,5,MOV
1778,258,1802,258,1802,290,1778,290,4,0.814421445,,5,
205,335,249,335,249,371,205,371,Lv,0.999176044,True,6,LV
337,335,409,335,409,371,337,371,44635,0.999732529,,6,
417,333,527,333,527,369,417,369,EXP,0.461233345,True,7,EXP
417,333,527,333,527,369,417,369,66,0.461233345,,7,
1623,331,1697,331,1697,367,1623,367,ATK,0.991752529,True,8,ATK
1751,327,1803,327,1803,367,1751,367,13,0.761318884,,8,
29,397,111,397,111,437,29,437,Skill,0.999946261,True,9,SKILL
1621,399,1713,399,1713,439,1621,439,LEAD,0.999986053,True,10,LEAD
1776,402,1804,402,1804,438,1776,438,8,0.798648797,,10,
1623,475,1695,475,1695,511,1623,511,DEF,0.999863864,True,11,DEF
1777,473,1841,473,1841,511,1777,511,5 +1,0.913520038,,11,
1623,547,1703,547,1703,583,1623,583,AMR,0.999991259,True,12,AMR
1775,545,1843,545,1843,583,1775,583,3+3,0.870078564,,12,
101,587,403,587,403,627,101,627,Experimental Musket,0.999961499,True,13,Experimental Musket
459,587,515,587,515,623,459,623,44656,0.999976049,,13,
1623,617,1697,617,1697,655,1623,655,SPD,0.999902337,True,14,SPD
1778,618,1804,618,1804,650,1778,650,4,0.999999881,,14,
103,671,211,671,211,707,103,707,Musket,0.99999927,True,15,Musket
449,668,525,668,525,708,449,708,44787,0.999994516,,15,
1621,687,1699,687,1699,727,1621,727,SCO,0.847006953,True,16,SCO
1776,690,1804,690,1804,726,1776,726,5,0.999998331,,16,
1625,789,1687,789,1687,825,1625,825,HIT,0.94400885,True,17,HIT
1751,785,1807,785,1807,825,1751,825,96,0.999996544,,17,
1623,859,1703,859,1703,897,1623,897,DDG,0.999933308,True,18,DDG
1753,857,1805,857,1805,897,1753,897,20,0.999999326,,18,
100,914,349,914,349,964,100,964,Order of Chivalry,0.776513558,True,19,Order of Chivalry
1625,933,1691,933,1691,969,1625,969,MRI,0.999801854,True,20,MRI
1753,929,1803,929,1803,969,1753,969,17,0.999998988,,20,
