TLX,TLY,BLX,BLY,BRX,BRY,TRX,TRY,content,p,as_cat,chunk,cat
178,20,328,20,328,72,178,72,Status,0.9999118632105854,True,7,Status
1389,35,1665,35,1665,80,1389,80,Pauline Bonaparte,0.9999833658886568,True,1,Pauline Bonaparte
1391,81,1409,81,1409,107,1391,107,A,0.9992624689544414,,1,
1405,74,1849,74,1849,118,1405,118,strikingyoung female officer who has,0.6207694675738528,,1,
1387,109,1843,109,1843,145,1387,145,the power to make others courageous.,0.7364736619729726,,1,
148,136,196,136,196,168,148,168,HP,0.9961977775062104,True,7,HP
235,133,329,133,329,171,235,171,20/20,0.9969526164751392,,7,
148,202,216,202,216,234,148,234,MRL,0.9999741904763432,,7,
237,199,329,199,329,237,237,237,8/100,0.999862240633199,,7,
31,267,125,267,125,305,31,305,Class,0.6418096105847804,,7,
191,269,303,269,303,305,191,305,Fusilier,0.9999979348035396,,7,
1623,259,1705,259,1705,295,1623,295,MOV,0.7670590877532959,True,5,MOV
1778,260,1802,260,1802,290,1778,290,4,0.8267437508475722,,5,
31,335,119,335,119,373,31,373,Trait,0.9615298754498932,True,7,Trait
205,335,249,335,249,371,205,371,Lv,0.9986014327188816,,7,
337,335,409,335,409,371,337,371,3/15,0.9679313651420032,,7,
419,333,527,333,527,369,419,369,EXP 66,0.9066656247410824,,7,
1623,331,1695,331,1695,367,1623,367,ATK,0.9940671260429266,True,8,ATK
1751,327,1803,327,1803,367,1751,367,13,0.7191341445641535,,8,
29,397,111,397,111,437,29,437,Skill,0.9999397038964712,True,7,Skill
1623,403,1713,403,1713,439,1623,439,LEAD,0.9999881982803344,True,10,LEAD
1776,402,1804,402,1804,438,1776,438,8,0.8198892305300476,,10,
148,468,332,468,332,496,148,496,Show All Status,0.7130589930232424,True,7,Show All Status
1623,475,1693,475,1693,511,1623,511,DEF,0.999827181131598,True,11,DEF
1777,473,1841,473,1841,511,1777,511,5 +1,0.8900947570800781,,11,
1623,547,1703,547,1703,583,1623,583,AMR,0.9999921538953668,True,13,AMR
1777,545,1843,545,1843,583,1777,583,3+3,0.9999962145976122,,13,
100,584,403,584,403,628,100,628,Experimental Musket,0.999989033185928,True,7,Experimental Musket
459,587,515,587,515,623,459,623,4/5,0.999976048759065,,7,
319,639,387,639,387,655,319,655,Khat,0.0313131920993328,,7,
1623,617,1697,617,1697,655,1623,655,SPD,0.992645025253296,True,15,SPD
1778,616,1806,616,1806,652,1778,652,4,1.0,,15,
104,672,210,672,210,704,104,704,Musket,0.9750099090633054,True,7,Musket
449,669,525,669,525,709,449,709,8/14,0.9733826696695465,,7,
1621,687,1699,687,1699,727,1621,727,SCO,0.8538614026695921,True,17,SCO
1778,688,1804,688,1804,724,1778,724,5,0.9999997615814352,,17,
1623,789,1687,789,1687,825,1623,825,HIT,0.7953551575436586,True,18,HIT
1753,785,1807,785,1807,825,1753,825,96,0.9999968811346348,,18,
1623,859,1703,859,1703,897,1623,897,DDG,0.9999363366697512,True,19,DDG
1753,857,1805,857,1805,897,1753,897,20,0.9999989041821146,,19,
99,919,347,919,347,963,99,963,Order of Chivalry,0.7128536504089729,True,7,Order of Chivalry
1625,933,1691,933,1691,969,1625,969,MRI,0.9996659284251724,True,21,MRI
1757,931,1805,931,1805,969,1757,969,17,0.9999991570631338,,21,
771,1003,1206,1003,1206,1034,771,1034,Left-click to view detailed information,0.8223747328520806,True,16,Left-click to view detailed information
